iterations,fitness,time,pop,mate,mutate,trial
0,24.0,0.03307107,100,50,50,1
10,31.0,0.090811035,100,50,50,1
20,34.0,0.098463388,100,50,50,1
30,34.0,0.106521265,100,50,50,1
40,33.0,0.119375776,100,50,50,1
50,35.0,0.121965384,100,50,50,1
60,35.0,0.125997687,100,50,50,1
70,35.0,0.153600168,100,50,50,1
80,42.0,0.157411242,100,50,50,1
90,41.0,0.16098901,100,50,50,1
100,42.0,0.166443986,100,50,50,1
110,42.0,0.16843883,100,50,50,1
120,43.0,0.17132901,100,50,50,1
130,43.0,0.172908751,100,50,50,1
140,45.0,0.179814968,100,50,50,1
150,44.0,0.214668222,100,50,50,1
160,43.0,0.217417644,100,50,50,1
170,43.0,0.232259277,100,50,50,1
180,42.0,0.235028995,100,50,50,1
190,41.0,0.263107591,100,50,50,1
200,45.0,0.264747821,100,50,50,1
210,45.0,0.268163725,100,50,50,1
220,47.0,0.284325082,100,50,50,1
230,50.0,0.286776533,100,50,50,1
240,50.0,0.288378853,100,50,50,1
250,48.0,0.290030259,100,50,50,1
260,49.0,0.291650743,100,50,50,1
270,48.0,0.305377427,100,50,50,1
280,52.0,0.310595842,100,50,50,1
290,51.0,0.320940278,100,50,50,1
300,53.0,0.322719046,100,50,50,1
310,55.0,0.324604643,100,50,50,1
320,56.0,0.413892485,100,50,50,1
330,56.0,0.417005532,100,50,50,1
340,54.0,0.418839865,100,50,50,1
350,54.0,0.42042161,100,50,50,1
360,56.0,0.421927312,100,50,50,1
370,56.0,0.424555362,100,50,50,1
380,55.0,0.467522462,100,50,50,1
390,55.0,0.473259804,100,50,50,1
400,55.0,0.475901267,100,50,50,1
410,56.0,0.479073869,100,50,50,1
420,57.0,0.481543931,100,50,50,1
430,56.0,0.483833232,100,50,50,1
440,56.0,0.486340248,100,50,50,1
450,56.0,0.489946855,100,50,50,1
460,56.0,0.525803867,100,50,50,1
470,56.0,0.528229937,100,50,50,1
480,56.0,0.531395269,100,50,50,1
490,57.0,0.533050352,100,50,50,1
500,57.0,0.535540669,100,50,50,1
510,57.0,0.537944838,100,50,50,1
520,58.0,0.540078526,100,50,50,1
530,58.0,0.54168143,100,50,50,1
540,57.0,0.543302331,100,50,50,1
550,56.0,0.545242009,100,50,50,1
560,57.0,0.546871608,100,50,50,1
570,57.0,0.622319896,100,50,50,1
580,56.0,0.624456138,100,50,50,1
590,56.0,0.631718216,100,50,50,1
600,56.0,0.633904866,100,50,50,1
610,56.0,0.63674892,100,50,50,1
620,57.0,0.638679715,100,50,50,1
630,57.0,0.643377155,100,50,50,1
640,55.0,0.644988688,100,50,50,1
650,57.0,0.646980398,100,50,50,1
660,55.0,0.648503097,100,50,50,1
670,56.0,0.650096369,100,50,50,1
680,56.0,0.651636915,100,50,50,1
690,57.0,0.653202274,100,50,50,1
700,58.0,0.654895285,100,50,50,1
710,57.0,0.656767446,100,50,50,1
720,57.0,0.660639456,100,50,50,1
730,57.0,0.671984671,100,50,50,1
740,57.0,0.673787129,100,50,50,1
750,57.0,0.675508105,100,50,50,1
760,58.0,0.677062111,100,50,50,1
770,57.0,0.678918707,100,50,50,1
780,57.0,0.680436219,100,50,50,1
790,58.0,0.684665304,100,50,50,1
800,59.0,0.686123299,100,50,50,1
810,57.0,0.687733589,100,50,50,1
820,58.0,0.689371513,100,50,50,1
830,57.0,0.690893243,100,50,50,1
840,57.0,0.706949534,100,50,50,1
850,57.0,0.750848181,100,50,50,1
860,57.0,0.752476639,100,50,50,1
870,58.0,0.755175205,100,50,50,1
880,58.0,0.760210681,100,50,50,1
890,58.0,0.786458029,100,50,50,1
900,58.0,0.792318762,100,50,50,1
910,58.0,0.794042371,100,50,50,1
920,59.0,0.801795218,100,50,50,1
930,60.0,0.804895175,100,50,50,1
940,60.0,0.806865383,100,50,50,1
950,61.0,0.833002339,100,50,50,1
960,61.0,0.840957249,100,50,50,1
970,64.0,0.843498842,100,50,50,1
980,63.0,0.845140906,100,50,50,1
990,62.0,0.847063584,100,50,50,1
1000,63.0,0.853028102,100,50,50,1
1010,63.0,0.85483783,100,50,50,1
1020,61.0,0.856463094,100,50,50,1
1030,65.0,0.859142392,100,50,50,1
1040,76.0,0.8607462,100,50,50,1
1050,80.0,0.862464227,100,50,50,1
1060,81.0,0.864046713,100,50,50,1
1070,83.0,0.865989713,100,50,50,1
1080,82.0,0.86739484,100,50,50,1
1090,82.0,0.870807949,100,50,50,1
1100,84.0,0.912348519,100,50,50,1
1110,84.0,0.916100188,100,50,50,1
1120,84.0,0.918238041,100,50,50,1
1130,85.0,0.936636152,100,50,50,1
1140,83.0,0.939410974,100,50,50,1
1150,82.0,0.948378049,100,50,50,1
1160,82.0,0.951416026,100,50,50,1
1170,83.0,0.961608755,100,50,50,1
1180,83.0,0.96311355,100,50,50,1
1190,83.0,0.966027909,100,50,50,1
1200,83.0,0.967536554,100,50,50,1
1210,83.0,0.983652565,100,50,50,1
1220,84.0,0.991827656,100,50,50,1
1230,85.0,0.993544184,100,50,50,1
1240,84.0,0.995096065,100,50,50,1
1250,84.0,0.996950744,100,50,50,1
1260,83.0,0.998410453,100,50,50,1
1270,85.0,1.005200879,100,50,50,1
1280,85.0,1.008821803,100,50,50,1
1290,85.0,1.01087269,100,50,50,1
1300,85.0,1.014131741,100,50,50,1
1310,84.0,1.015481992,100,50,50,1
1320,83.0,1.046849179,100,50,50,1
1330,84.0,1.048258302,100,50,50,1
1340,84.0,1.049994707,100,50,50,1
1350,83.0,1.05152758,100,50,50,1
1360,83.0,1.063951974,100,50,50,1
1370,83.0,1.065995848,100,50,50,1
1380,82.0,1.067404806,100,50,50,1
1390,83.0,1.069553056,100,50,50,1
1400,83.0,1.071954034,100,50,50,1
1410,84.0,1.07393752,100,50,50,1
1420,82.0,1.075618409,100,50,50,1
1430,83.0,1.078383373,100,50,50,1
