iterations,fitness,time,samples,keep,m,trial
0,24.0,1.185432653,100,50,0.1,1
10,28.0,1.770028585,100,50,0.1,1
20,30.0,2.119725743,100,50,0.1,1
30,30.0,2.666738364,100,50,0.1,1
40,30.0,2.932723828,100,50,0.1,1
50,31.0,3.504802991,100,50,0.1,1
60,31.0,3.749039811,100,50,0.1,1
70,30.0,4.266453276,100,50,0.1,1
80,32.0,4.569917641,100,50,0.1,1
90,31.0,4.783186202,100,50,0.1,1
100,31.0,5.068143628,100,50,0.1,1
110,30.0,5.266156017,100,50,0.1,1
120,31.0,5.504053544,100,50,0.1,1
130,33.0,5.813963832,100,50,0.1,1
140,31.0,6.067724766,100,50,0.1,1
150,31.0,6.297653735,100,50,0.1,1
160,31.0,6.465059033,100,50,0.1,1
170,31.0,6.630461713,100,50,0.1,1
180,31.0,6.818805682,100,50,0.1,1
190,31.0,7.542921644,100,50,0.1,1
200,31.0,7.745847364,100,50,0.1,1
210,31.0,7.952725729,100,50,0.1,1
220,31.0,8.128438653,100,50,0.1,1
230,31.0,8.319723097,100,50,0.1,1
240,32.0,8.49110621,100,50,0.1,1
250,31.0,8.693454117,100,50,0.1,1
260,38.0,8.893002208,100,50,0.1,1
270,38.0,9.175369629,100,50,0.1,1
280,39.0,9.388786148,100,50,0.1,1
290,45.0,9.6028061,100,50,0.1,1
300,46.0,9.787357438,100,50,0.1,1
310,48.0,10.19257967,100,50,0.1,1
320,51.0,10.437866569,100,50,0.1,1
330,47.0,10.631107849,100,50,0.1,1
340,50.0,10.893104869,100,50,0.1,1
350,46.0,11.065203603,100,50,0.1,1
360,48.0,11.257318958,100,50,0.1,1
370,47.0,11.501351187,100,50,0.1,1
380,46.0,12.008078608,100,50,0.1,1
390,47.0,12.203594125,100,50,0.1,1
400,46.0,12.476806051,100,50,0.1,1
410,47.0,12.922827105,100,50,0.1,1
420,45.0,13.154784428,100,50,0.1,1
430,45.0,13.3472908,100,50,0.1,1
440,46.0,13.625243154,100,50,0.1,1
450,47.0,13.911162616,100,50,0.1,1
460,47.0,14.149531696,100,50,0.1,1
470,48.0,14.488100739,100,50,0.1,1
480,49.0,15.225692074,100,50,0.1,1
490,49.0,15.525984394,100,50,0.1,1
500,52.0,16.327272792,100,50,0.1,1
510,48.0,16.861648684,100,50,0.1,1
520,49.0,17.15535153,100,50,0.1,1
530,49.0,17.922884325,100,50,0.1,1
540,49.0,18.309960576,100,50,0.1,1
550,50.0,18.952489925,100,50,0.1,1
560,49.0,19.308723535,100,50,0.1,1
570,51.0,19.690988819,100,50,0.1,1
580,49.0,20.129404858,100,50,0.1,1
590,48.0,20.385525181,100,50,0.1,1
600,48.0,20.613477583,100,50,0.1,1
610,48.0,20.82704659,100,50,0.1,1
620,49.0,21.035016993,100,50,0.1,1
630,50.0,21.233096064,100,50,0.1,1
640,53.0,21.430211836,100,50,0.1,1
650,51.0,21.661745106,100,50,0.1,1
660,54.0,21.858850881,100,50,0.1,1
670,49.0,22.088486904,100,50,0.1,1
680,53.0,22.277977441,100,50,0.1,1
690,49.0,22.485527683,100,50,0.1,1
700,49.0,22.700473034,100,50,0.1,1
710,49.0,22.890972335,100,50,0.1,1
720,49.0,23.102650961,100,50,0.1,1
730,50.0,23.341683039,100,50,0.1,1
740,49.0,23.586154212,100,50,0.1,1
750,49.0,24.013920859,100,50,0.1,1
760,49.0,24.273812865,100,50,0.1,1
770,50.0,24.523093294,100,50,0.1,1
780,51.0,24.777320406,100,50,0.1,1
790,50.0,25.125902318,100,50,0.1,1
800,50.0,25.389522288,100,50,0.1,1
810,53.0,25.763708642,100,50,0.1,1
820,52.0,26.25852472,100,50,0.1,1
830,50.0,26.645005661,100,50,0.1,1
840,49.0,27.041142018,100,50,0.1,1
850,50.0,27.866196569,100,50,0.1,1
860,51.0,28.348898147,100,50,0.1,1
870,49.0,28.763959429,100,50,0.1,1
880,50.0,29.091769717,100,50,0.1,1
890,50.0,29.721627581,100,50,0.1,1
900,50.0,30.048398932,100,50,0.1,1
910,51.0,30.407229718,100,50,0.1,1
920,51.0,30.731317285,100,50,0.1,1
930,52.0,31.069643082,100,50,0.1,1
940,51.0,31.436192862,100,50,0.1,1
950,52.0,31.959501117,100,50,0.1,1
960,51.0,32.329119619,100,50,0.1,1
970,52.0,32.717168423,100,50,0.1,1
980,51.0,33.093741354,100,50,0.1,1
990,52.0,33.637178399,100,50,0.1,1
1000,51.0,34.047737471,100,50,0.1,1
1010,51.0,34.651902577,100,50,0.1,1
1020,52.0,35.182448598,100,50,0.1,1
1030,51.0,35.683370972,100,50,0.1,1
1040,51.0,36.102286277,100,50,0.1,1
1050,51.0,36.402235051,100,50,0.1,1
1060,52.0,36.794251341,100,50,0.1,1
1070,51.0,37.244122964,100,50,0.1,1
1080,52.0,37.654984346,100,50,0.1,1
1090,52.0,38.192331511,100,50,0.1,1
1100,52.0,38.61572398,100,50,0.1,1
1110,57.0,39.033961276,100,50,0.1,1
1120,52.0,39.360685963,100,50,0.1,1
1130,53.0,39.780564849,100,50,0.1,1
1140,52.0,40.262647264,100,50,0.1,1
1150,52.0,40.542662454,100,50,0.1,1
1160,57.0,41.005209157,100,50,0.1,1
1170,53.0,41.386166138,100,50,0.1,1
1180,55.0,41.933242731,100,50,0.1,1
1190,53.0,42.332623592,100,50,0.1,1
1200,53.0,42.743509535,100,50,0.1,1
1210,52.0,43.207775538,100,50,0.1,1
1220,58.0,43.684604431,100,50,0.1,1
1230,54.0,44.204357286,100,50,0.1,1
1240,57.0,44.639925157,100,50,0.1,1
1250,52.0,44.921451705,100,50,0.1,1
1260,53.0,45.100529703,100,50,0.1,1
1270,58.0,45.427199144,100,50,0.1,1
1280,53.0,45.634290391,100,50,0.1,1
1290,52.0,45.900911298,100,50,0.1,1
1300,56.0,46.300540947,100,50,0.1,1
1310,53.0,46.726090428,100,50,0.1,1
1320,58.0,47.055560412,100,50,0.1,1
1330,53.0,47.452062402,100,50,0.1,1
1340,54.0,47.900711204,100,50,0.1,1
1350,52.0,48.297309939,100,50,0.1,1
1360,57.0,48.532650531,100,50,0.1,1
1370,57.0,48.775752226,100,50,0.1,1
1380,54.0,48.968797835,100,50,0.1,1
1390,54.0,49.258730689,100,50,0.1,1
1400,53.0,49.464450681,100,50,0.1,1
1410,53.0,49.675264382,100,50,0.1,1
