iterations,fitness,time,trial
0,14.0,0.000888491,1
10,15.0,0.00134045,1
20,15.0,0.001766251,1
30,15.0,0.002170434,1
40,17.0,0.002576655,1
50,17.0,0.003108644,1
60,17.0,0.003517785,1
70,17.0,0.005681092,1
80,17.0,0.008005098,1
90,18.0,0.013418597,1
100,18.0,0.01446283,1
110,18.0,0.014758851,1
120,18.0,0.018869535,1
130,18.0,0.023499891,1
140,18.0,0.023853191,1
150,18.0,0.032136174,1
160,20.0,0.033529122,1
170,20.0,0.035937272,1
180,22.0,0.056832845,1
190,22.0,0.057052303,1
200,22.0,0.057374691,1
210,22.0,0.057583772,1
220,22.0,0.058431238,1
230,22.0,0.058600804,1
240,22.0,0.058826388,1
250,22.0,0.059813153,1
260,22.0,0.060545873,1
270,22.0,0.060811355,1
280,22.0,0.061521989,1
290,23.0,0.061708853,1
300,23.0,0.061910543,1
310,23.0,0.062213581,1
320,23.0,0.062490891,1
330,24.0,0.062679601,1
340,24.0,0.062818851,1
350,24.0,0.063004706,1
360,24.0,0.063152877,1
370,24.0,0.063330105,1
380,24.0,0.063537348,1
390,24.0,0.063785924,1
400,24.0,0.064480115,1
410,24.0,0.065101452,1
420,24.0,0.066625179,1
430,24.0,0.081721582,1
440,24.0,0.083289959,1
450,24.0,0.087608259,1
460,24.0,0.087846853,1
470,24.0,0.088017772,1
480,24.0,0.088169234,1
490,24.0,0.089077061,1
500,24.0,0.090144739,1
510,24.0,0.09095665,1
520,24.0,0.09270925,1
530,24.0,0.093705621,1
540,24.0,0.093831371,1
550,24.0,0.094215344,1
560,24.0,0.094352244,1
570,24.0,0.095015883,1
580,24.0,0.096103643,1
590,24.0,0.096181131,1
600,24.0,0.096922363,1
610,24.0,0.098157099,1
620,24.0,0.098720964,1
630,26.0,0.099594855,1
640,26.0,0.099695664,1
650,26.0,0.100892569,1
660,26.0,0.100987008,1
670,26.0,0.101560508,1
680,26.0,0.10249653,1
690,26.0,0.102629475,1
700,26.0,0.102739061,1
710,26.0,0.102886727,1
720,26.0,0.10386629,1
730,26.0,0.103965321,1
740,26.0,0.104028548,1
750,28.0,0.104152143,1
760,28.0,0.105018232,1
