iterations,fitness,time,CE,trial
0,12.0,9.96710000001e-05,0.15,1
10,13.0,0.000165930000001,0.15,1
20,13.0,0.00020862,0.15,1
30,15.0,0.000306370000001,0.15,1
40,15.0,0.000374807000001,0.15,1
50,15.0,0.000409964000001,0.15,1
60,15.0,0.000444996000001,0.15,1
70,15.0,0.000476698000002,0.15,1
80,15.0,0.000520751000002,0.15,1
90,15.0,0.000554050000002,0.15,1
100,15.0,0.000633633000001,0.15,1
110,15.0,0.000815148000001,0.15,1
120,15.0,0.000858750000002,0.15,1
130,15.0,0.000903652000002,0.15,1
140,15.0,0.000950195000001,0.15,1
150,15.0,0.001772408,0.15,1
160,15.0,0.001835111,0.15,1
170,15.0,0.001878479,0.15,1
180,16.0,0.001918966,0.15,1
190,16.0,0.00195859,0.15,1
200,16.0,0.001998824,0.15,1
210,16.0,0.002039932,0.15,1
220,16.0,0.002082031,0.15,1
230,16.0,0.002123727,0.15,1
240,16.0,0.002248192,0.15,1
250,16.0,0.002312022,0.15,1
260,16.0,0.002434574,0.15,1
270,17.0,0.00262305,0.15,1
280,17.0,0.00265132,0.15,1
290,17.0,0.002677847,0.15,1
300,18.0,0.002707391,0.15,1
310,18.0,0.002736234,0.15,1
320,18.0,0.002763503,0.15,1
330,18.0,0.002794275,0.15,1
340,18.0,0.002858873,0.15,1
350,19.0,0.002889287,0.15,1
360,19.0,0.002931823,0.15,1
370,19.0,0.00297489,0.15,1
380,19.0,0.003005018,0.15,1
390,19.0,0.00303857,0.15,1
400,19.0,0.003068826,0.15,1
410,19.0,0.003101552,0.15,1
420,19.0,0.003133458,0.15,1
430,19.0,0.003167221,0.15,1
440,19.0,0.003202193,0.15,1
450,19.0,0.003236434,0.15,1
460,19.0,0.003270818,0.15,1
470,19.0,0.003305888,0.15,1
480,19.0,0.003339421,0.15,1
490,19.0,0.003373161,0.15,1
500,19.0,0.003406908,0.15,1
510,19.0,0.003470829,0.15,1
520,19.0,0.003500494,0.15,1
530,19.0,0.003680506,0.15,1
540,19.0,0.003715451,0.15,1
550,19.0,0.003765347,0.15,1
560,19.0,0.003801844,0.15,1
570,19.0,0.003838718,0.15,1
580,19.0,0.003873287,0.15,1
590,19.0,0.003909419,0.15,1
600,19.0,0.003939121,0.15,1
610,19.0,0.003972925,0.15,1
620,19.0,0.004003482,0.15,1
630,19.0,0.004053521,0.15,1
640,19.0,0.004083347,0.15,1
650,19.0,0.004118318,0.15,1
660,19.0,0.004149708,0.15,1
670,19.0,0.004186706,0.15,1
680,20.0,0.004215813,0.15,1
690,20.0,0.004251056,0.15,1
700,20.0,0.004280999,0.15,1
710,20.0,0.00431342,0.15,1
720,20.0,0.004342643,0.15,1
730,20.0,0.004375174,0.15,1
740,20.0,0.004407833,0.15,1
750,20.0,0.004442413,0.15,1
760,20.0,0.005055684,0.15,1
770,20.0,0.005102081,0.15,1
780,21.0,0.005159496,0.15,1
790,21.0,0.005209042,0.15,1
800,21.0,0.005244729,0.15,1
810,21.0,0.005282337,0.15,1
820,21.0,0.00532198,0.15,1
830,21.0,0.005357113,0.15,1
840,21.0,0.005405898,0.15,1
850,21.0,0.005441525,0.15,1
860,21.0,0.005473235,0.15,1
870,21.0,0.005506933,0.15,1
880,21.0,0.005540801,0.15,1
890,21.0,0.005598608,0.15,1
900,21.0,0.005628193,0.15,1
910,21.0,0.005668589,0.15,1
920,21.0,0.005697458,0.15,1
930,21.0,0.005754854,0.15,1
940,21.0,0.005787196,0.15,1
950,21.0,0.005819599,0.15,1
