iterations,fitness,time,pop,mate,mutate,trial
0,551.0,0.072275358,100,50,50,1
10,548.0,0.094416312,100,50,50,1
20,550.0,0.133622393,100,50,50,1
30,550.0,0.170195531,100,50,50,1
40,554.0,0.214764122,100,50,50,1
50,551.0,0.267906337,100,50,50,1
60,542.0,0.32306324,100,50,50,1
70,544.0,0.360454376,100,50,50,1
80,550.0,0.392149806,100,50,50,1
90,554.0,0.410941635,100,50,50,1
100,554.0,0.440586147,100,50,50,1
110,562.0,0.45801305,100,50,50,1
120,560.0,0.477626308,100,50,50,1
130,564.0,0.49758925,100,50,50,1
140,570.0,0.5309144,100,50,50,1
150,570.0,0.54816601,100,50,50,1
160,570.0,0.573455134,100,50,50,1
170,572.0,0.591466826,100,50,50,1
180,568.0,0.687948038,100,50,50,1
190,566.0,0.723938756,100,50,50,1
200,568.0,0.753530064,100,50,50,1
210,568.0,0.785846977,100,50,50,1
220,567.0,0.808870214,100,50,50,1
230,568.0,0.889613787,100,50,50,1
240,574.0,0.920218794,100,50,50,1
250,572.0,0.965268582,100,50,50,1
260,572.0,1.013302981,100,50,50,1
270,572.0,1.055695179,100,50,50,1
280,570.0,1.102342235,100,50,50,1
290,572.0,1.140411783,100,50,50,1
300,576.0,1.1509136,100,50,50,1
310,570.0,1.177348049,100,50,50,1
320,572.0,1.209106631,100,50,50,1
330,576.0,1.249672392,100,50,50,1
340,572.0,1.289831216,100,50,50,1
350,572.0,1.309991999,100,50,50,1
360,570.0,1.348101883,100,50,50,1
370,572.0,1.383843904,100,50,50,1
380,572.0,1.434546335,100,50,50,1
390,574.0,1.443622496,100,50,50,1
400,578.0,1.45632953,100,50,50,1
410,580.0,1.469906661,100,50,50,1
420,580.0,1.490288413,100,50,50,1
430,580.0,1.539704682,100,50,50,1
440,580.0,1.586678836,100,50,50,1
450,576.0,1.612703644,100,50,50,1
460,582.0,1.629124265,100,50,50,1
470,578.0,1.714144778,100,50,50,1
480,575.0,1.744209957,100,50,50,1
490,580.0,1.766647655,100,50,50,1
500,576.0,1.778600615,100,50,50,1
510,580.0,1.856987581,100,50,50,1
520,572.0,1.866461529,100,50,50,1
530,570.0,1.898692561,100,50,50,1
540,570.0,1.938080146,100,50,50,1
550,575.0,1.97082894,100,50,50,1
560,573.0,1.984391848,100,50,50,1
570,577.0,2.02540725,100,50,50,1
580,575.0,2.037946959,100,50,50,1
590,576.0,2.053579747,100,50,50,1
600,578.0,2.062889654,100,50,50,1
610,578.0,2.077233023,100,50,50,1
620,579.0,2.146815661,100,50,50,1
630,579.0,2.192445507,100,50,50,1
640,584.0,2.223448539,100,50,50,1
650,580.0,2.250997078,100,50,50,1
660,574.0,2.282267299,100,50,50,1
670,578.0,2.295154051,100,50,50,1
680,576.0,2.345712116,100,50,50,1
690,582.0,2.360003393,100,50,50,1
700,576.0,2.380427348,100,50,50,1
710,578.0,2.412546368,100,50,50,1
720,580.0,2.431779149,100,50,50,1
730,580.0,2.455105779,100,50,50,1
740,588.0,2.470960783,100,50,50,1
750,586.0,2.501640763,100,50,50,1
760,582.0,2.518777366,100,50,50,1
770,586.0,2.539749806,100,50,50,1
780,588.0,2.551090467,100,50,50,1
790,592.0,2.564454841,100,50,50,1
800,586.0,2.576820482,100,50,50,1
810,578.0,2.596145573,100,50,50,1
820,580.0,2.616635378,100,50,50,1
830,580.0,2.632685356,100,50,50,1
840,580.0,2.64866081,100,50,50,1
850,584.0,2.663830678,100,50,50,1
860,582.0,2.692859817,100,50,50,1
870,588.0,2.719773474,100,50,50,1
880,588.0,2.756418382,100,50,50,1
890,592.0,2.789647529,100,50,50,1
900,588.0,2.813400846,100,50,50,1
910,588.0,2.825733877,100,50,50,1
920,588.0,2.855727007,100,50,50,1
930,582.0,2.974807348,100,50,50,1
940,582.0,3.014612405,100,50,50,1
950,582.0,3.03540347,100,50,50,1
960,580.0,3.062381744,100,50,50,1
970,584.0,3.093828327,100,50,50,1
980,584.0,3.110928971,100,50,50,1
990,584.0,3.134320546,100,50,50,1
1000,584.0,3.170310232,100,50,50,1
1010,580.0,3.184395335,100,50,50,1
1020,580.0,3.22145714,100,50,50,1
1030,584.0,3.241065031,100,50,50,1
1040,586.0,3.26337128,100,50,50,1
1050,576.0,3.280358022,100,50,50,1
1060,576.0,3.298526439,100,50,50,1
1070,580.0,3.31563577,100,50,50,1
1080,574.0,3.326766725,100,50,50,1
1090,570.0,3.338714961,100,50,50,1
1100,576.0,3.372488182,100,50,50,1
1110,576.0,3.395564853,100,50,50,1
1120,572.0,3.418817494,100,50,50,1
1130,572.0,3.43551133,100,50,50,1
1140,570.0,3.465846519,100,50,50,1
1150,572.0,3.497951617,100,50,50,1
1160,574.0,3.517057137,100,50,50,1
1170,568.0,3.53457096,100,50,50,1
1180,570.0,3.560089465,100,50,50,1
1190,568.0,3.582145201,100,50,50,1
1200,566.0,3.602777759,100,50,50,1
1210,568.0,3.62063027,100,50,50,1
1220,562.0,3.64969985,100,50,50,1
1230,566.0,3.680988035,100,50,50,1
1240,570.0,3.71326178,100,50,50,1
1250,568.0,3.72811691,100,50,50,1
1260,566.0,3.744483464,100,50,50,1
1270,568.0,3.761458555,100,50,50,1
1280,562.0,3.775922795,100,50,50,1
1290,565.0,3.820598245,100,50,50,1
1300,560.0,3.840856879,100,50,50,1
1310,563.0,3.858054145,100,50,50,1
1320,566.0,3.919310346,100,50,50,1
1330,564.0,3.941848549,100,50,50,1
1340,564.0,3.958788973,100,50,50,1
1350,572.0,3.974765418,100,50,50,1
1360,564.0,3.996688424,100,50,50,1
1370,564.0,4.025196814,100,50,50,1
1380,562.0,4.044077918,100,50,50,1
1390,568.0,4.074973073,100,50,50,1
1400,562.0,4.093360847,100,50,50,1
1410,564.0,4.103398041,100,50,50,1
1420,560.0,4.122165856,100,50,50,1
1430,562.0,4.198735274,100,50,50,1
1440,558.0,4.217400223,100,50,50,1
1450,558.0,4.229954525,100,50,50,1
1460,562.0,4.254484626,100,50,50,1
1470,556.0,4.267982799,100,50,50,1
1480,558.0,4.290848013,100,50,50,1
1490,562.0,4.301089723,100,50,50,1
1500,558.0,4.314257797,100,50,50,1
1510,562.0,4.328048993,100,50,50,1
1520,562.0,4.341175706,100,50,50,1
1530,558.0,4.352148188,100,50,50,1
1540,555.0,4.400976142,100,50,50,1
1550,556.0,4.430296962,100,50,50,1
1560,559.0,4.4426134,100,50,50,1
1570,558.0,4.471896401,100,50,50,1
1580,558.0,4.498706118,100,50,50,1
1590,556.0,4.514183997,100,50,50,1
1600,556.0,4.524317729,100,50,50,1
1610,554.0,4.545380981,100,50,50,1
1620,557.0,4.570941132,100,50,50,1
1630,552.0,4.59207921,100,50,50,1
1640,553.0,4.616081393,100,50,50,1
1650,554.0,4.632409103,100,50,50,1
1660,554.0,4.646896529,100,50,50,1
1670,550.0,4.715924384,100,50,50,1
1680,552.0,4.748062724,100,50,50,1
1690,553.0,4.797092489,100,50,50,1
1700,547.0,4.869839242,100,50,50,1
1710,548.0,4.892971038,100,50,50,1
1720,546.0,4.966757862,100,50,50,1
1730,548.0,5.018730501,100,50,50,1
1740,554.0,5.046752639,100,50,50,1
1750,550.0,5.092893163,100,50,50,1
1760,556.0,5.125843308,100,50,50,1
1770,562.0,5.161709082,100,50,50,1
1780,558.0,5.178126486,100,50,50,1
1790,570.0,5.19891146,100,50,50,1
1800,556.0,5.212163377,100,50,50,1
1810,556.0,5.302847373,100,50,50,1
1820,554.0,5.325550038,100,50,50,1
1830,554.0,5.338044634,100,50,50,1
1840,550.0,5.364823278,100,50,50,1
1850,552.0,5.382984425,100,50,50,1
1860,544.0,5.398311278,100,50,50,1
1870,556.0,5.459134196,100,50,50,1
1880,552.0,5.476833187,100,50,50,1
1890,554.0,5.493539491,100,50,50,1
1900,550.0,5.514908256,100,50,50,1
1910,552.0,5.528331714,100,50,50,1
1920,550.0,5.54579187,100,50,50,1
1930,548.0,5.562214434,100,50,50,1
1940,554.0,5.583689618,100,50,50,1
1950,548.0,5.618789875,100,50,50,1
1960,552.0,5.647411863,100,50,50,1
1970,548.0,5.671148986,100,50,50,1
1980,546.0,5.685978565,100,50,50,1
1990,548.0,5.704076154,100,50,50,1
2000,554.0,5.717585459,100,50,50,1
2010,556.0,5.76572743,100,50,50,1
2020,556.0,5.779845712,100,50,50,1
2030,558.0,5.78982247,100,50,50,1
2040,560.0,5.801636116,100,50,50,1
2050,562.0,5.822198727,100,50,50,1
2060,554.0,5.860362764,100,50,50,1
2070,558.0,5.894032547,100,50,50,1
2080,560.0,5.931717617,100,50,50,1
2090,562.0,5.952234909,100,50,50,1
2100,562.0,5.964588658,100,50,50,1
2110,566.0,5.989262673,100,50,50,1
2120,558.0,6.007068561,100,50,50,1
2130,562.0,6.02596425,100,50,50,1
2140,564.0,6.073598538,100,50,50,1
2150,566.0,6.088223086,100,50,50,1
2160,566.0,6.105328526,100,50,50,1
2170,564.0,6.123180984,100,50,50,1
2180,570.0,6.16250822,100,50,50,1
2190,568.0,6.175871385,100,50,50,1
2200,566.0,6.205409242,100,50,50,1
2210,566.0,6.215942848,100,50,50,1
2220,564.0,6.226344522,100,50,50,1
2230,564.0,6.258859479,100,50,50,1
2240,562.0,6.285098626,100,50,50,1
2250,564.0,6.306539448,100,50,50,1
2260,562.0,6.320454514,100,50,50,1
2270,560.0,6.354133661,100,50,50,1
2280,553.0,6.370685976,100,50,50,1
2290,552.0,6.386973519,100,50,50,1
2300,561.0,6.468603026,100,50,50,1
2310,560.0,6.480846752,100,50,50,1
2320,556.0,6.499350888,100,50,50,1
2330,564.0,6.527407015,100,50,50,1
2340,560.0,6.550369594,100,50,50,1
2350,562.0,6.580492953,100,50,50,1
2360,560.0,6.60345499,100,50,50,1
2370,562.0,6.622723925,100,50,50,1
2380,558.0,6.660745656,100,50,50,1
2390,560.0,6.687544272,100,50,50,1
2400,564.0,6.702050664,100,50,50,1
2410,564.0,6.719479766,100,50,50,1
2420,568.0,6.750507749,100,50,50,1
2430,580.0,6.767864033,100,50,50,1
2440,568.0,6.783712498,100,50,50,1
2450,574.0,6.818292536,100,50,50,1
2460,574.0,6.843248565,100,50,50,1
2470,574.0,6.878985605,100,50,50,1
2480,570.0,6.891856423,100,50,50,1
2490,574.0,6.918572107,100,50,50,1
2500,572.0,6.942930144,100,50,50,1
2510,576.0,6.953251437,100,50,50,1
2520,580.0,6.993592511,100,50,50,1
2530,586.0,7.018904466,100,50,50,1
2540,590.0,7.049842733,100,50,50,1
2550,584.0,7.059735497,100,50,50,1
2560,586.0,7.094015541,100,50,50,1
2570,580.0,7.142421393,100,50,50,1
2580,576.0,7.175971516,100,50,50,1
2590,578.0,7.264508946,100,50,50,1
2600,576.0,7.293707301,100,50,50,1
2610,576.0,7.316226677,100,50,50,1
2620,578.0,7.330738418,100,50,50,1
2630,576.0,7.398100448,100,50,50,1
2640,580.0,7.479015411,100,50,50,1
