iterations,fitness,time,samples,keep,m,trial
0,569.0,29.059616137,100,50,0.1,1
10,620.0,55.872575533,100,50,0.1,1
20,682.0,80.867702877,100,50,0.1,1
30,714.0,103.211825764,100,50,0.1,1
40,724.0,124.105733564,100,50,0.1,1
50,726.0,142.186495903,100,50,0.1,1
60,728.0,159.463110765,100,50,0.1,1
70,726.0,177.050053947,100,50,0.1,1
80,724.0,194.284781911,100,50,0.1,1
90,728.0,211.535500291,100,50,0.1,1
100,726.0,228.933728933,100,50,0.1,1
110,728.0,247.127802219,100,50,0.1,1
120,726.0,264.944762207,100,50,0.1,1
130,726.0,281.847899186,100,50,0.1,1
140,726.0,298.941531828,100,50,0.1,1
150,727.0,316.758325168,100,50,0.1,1
160,728.0,334.095854717,100,50,0.1,1
170,728.0,352.016116754,100,50,0.1,1
180,728.0,369.537511104,100,50,0.1,1
190,730.0,388.650820712,100,50,0.1,1
200,732.0,404.841746643,100,50,0.1,1
210,732.0,420.799035152,100,50,0.1,1
220,728.0,436.905079546,100,50,0.1,1
230,730.0,452.5696414,100,50,0.1,1
240,732.0,467.546600756,100,50,0.1,1
250,736.0,483.086734025,100,50,0.1,1
260,737.0,498.727477404,100,50,0.1,1
270,736.0,514.35989838,100,50,0.1,1
280,734.0,529.928901502,100,50,0.1,1
290,736.0,545.954833607,100,50,0.1,1
300,742.0,561.531899673,100,50,0.1,1
310,736.0,576.406272815,100,50,0.1,1
320,740.0,591.615523827,100,50,0.1,1
330,740.0,607.049573534,100,50,0.1,1
340,742.0,622.67162647,100,50,0.1,1
350,740.0,637.624012353,100,50,0.1,1
360,740.0,652.649943381,100,50,0.1,1
370,740.0,667.604111584,100,50,0.1,1
380,742.0,683.144541721,100,50,0.1,1
390,744.0,698.498704128,100,50,0.1,1
400,742.0,714.065301432,100,50,0.1,1
410,744.0,729.123079412,100,50,0.1,1
420,744.0,744.753466955,100,50,0.1,1
430,748.0,759.793962618,100,50,0.1,1
440,748.0,774.86241011,100,50,0.1,1
450,748.0,789.893909036,100,50,0.1,1
460,746.0,804.812551396,100,50,0.1,1
470,746.0,820.123989753,100,50,0.1,1
480,744.0,836.04380584,100,50,0.1,1
490,746.0,851.305452415,100,50,0.1,1
500,744.0,866.634824159,100,50,0.1,1
510,746.0,881.559024538,100,50,0.1,1
520,748.0,896.48448265,100,50,0.1,1
530,744.0,912.17054913,100,50,0.1,1
540,748.0,929.028657442,100,50,0.1,1
550,746.0,945.706602184,100,50,0.1,1
560,746.0,960.909194649,100,50,0.1,1
570,746.0,975.912984541,100,50,0.1,1
580,746.0,991.03632065,100,50,0.1,1
590,746.0,1005.82296416,100,50,0.1,1
600,748.0,1021.02466361,100,50,0.1,1
610,746.0,1036.10873232,100,50,0.1,1
620,748.0,1051.53743008,100,50,0.1,1
630,750.0,1067.29567778,100,50,0.1,1
640,754.0,1083.13604256,100,50,0.1,1
650,754.0,1098.83896265,100,50,0.1,1
660,754.0,1114.11150023,100,50,0.1,1
670,754.0,1129.26450739,100,50,0.1,1
680,754.0,1145.55781617,100,50,0.1,1
690,754.0,1161.08543375,100,50,0.1,1
700,754.0,1176.18028535,100,50,0.1,1
710,756.0,1191.31893979,100,50,0.1,1
720,754.0,1206.36080641,100,50,0.1,1
730,754.0,1221.27509791,100,50,0.1,1
740,754.0,1236.00574482,100,50,0.1,1
750,756.0,1251.06777972,100,50,0.1,1
760,754.0,1265.93130609,100,50,0.1,1
770,754.0,1280.88139216,100,50,0.1,1
780,756.0,1296.14493449,100,50,0.1,1
790,756.0,1312.43856741,100,50,0.1,1
800,758.0,1327.59847231,100,50,0.1,1
810,758.0,1342.63997487,100,50,0.1,1
820,760.0,1357.62671872,100,50,0.1,1
830,762.0,1373.27871341,100,50,0.1,1
840,765.0,1388.36473708,100,50,0.1,1
850,766.0,1403.13046771,100,50,0.1,1
860,764.0,1417.80887875,100,50,0.1,1
870,764.0,1433.8043775,100,50,0.1,1
880,764.0,1448.60641095,100,50,0.1,1
890,764.0,1464.46611901,100,50,0.1,1
900,764.0,1479.95598089,100,50,0.1,1
910,764.0,1494.92959344,100,50,0.1,1
920,762.0,1510.04459719,100,50,0.1,1
930,762.0,1525.22804744,100,50,0.1,1
940,764.0,1540.16791731,100,50,0.1,1
950,766.0,1554.92681286,100,50,0.1,1
960,764.0,1569.73551189,100,50,0.1,1
970,764.0,1584.56166875,100,50,0.1,1
980,764.0,1599.41574821,100,50,0.1,1
990,764.0,1614.09431227,100,50,0.1,1
1000,766.0,1629.01128419,100,50,0.1,1
1010,764.0,1643.99011072,100,50,0.1,1
1020,766.0,1659.21638045,100,50,0.1,1
1030,764.0,1674.99568227,100,50,0.1,1
1040,764.0,1689.84014809,100,50,0.1,1
1050,764.0,1705.11505572,100,50,0.1,1
1060,764.0,1719.75193892,100,50,0.1,1
1070,764.0,1735.0421481,100,50,0.1,1
1080,764.0,1750.11212899,100,50,0.1,1
1090,764.0,1765.18710288,100,50,0.1,1
1100,764.0,1780.52792054,100,50,0.1,1
1110,764.0,1795.33856664,100,50,0.1,1
1120,764.0,1810.07073324,100,50,0.1,1
1130,762.0,1825.34592041,100,50,0.1,1
1140,764.0,1840.19233783,100,50,0.1,1
1150,764.0,1854.87933157,100,50,0.1,1
1160,766.0,1869.59024547,100,50,0.1,1
1170,766.0,1884.49720677,100,50,0.1,1
1180,766.0,1899.24643377,100,50,0.1,1
1190,766.0,1913.99191104,100,50,0.1,1
1200,766.0,1929.27278139,100,50,0.1,1
1210,764.0,1944.33679952,100,50,0.1,1
1220,766.0,1959.31924384,100,50,0.1,1
1230,764.0,1974.3267242,100,50,0.1,1
1240,766.0,1988.93311503,100,50,0.1,1
1250,768.0,2005.93719141,100,50,0.1,1
1260,766.0,2020.3830602,100,50,0.1,1
1270,766.0,2036.99261381,100,50,0.1,1
1280,766.0,2051.87309839,100,50,0.1,1
1290,766.0,2066.56822675,100,50,0.1,1
1300,764.0,2081.39306536,100,50,0.1,1
1310,766.0,2096.23954051,100,50,0.1,1
1320,766.0,2111.10790674,100,50,0.1,1
1330,768.0,2125.89230655,100,50,0.1,1
1340,766.0,2141.40137664,100,50,0.1,1
1350,766.0,2156.13087551,100,50,0.1,1
1360,768.0,2170.92919341,100,50,0.1,1
1370,770.0,2185.93574865,100,50,0.1,1
1380,768.0,2200.9498129,100,50,0.1,1
1390,768.0,2215.73776575,100,50,0.1,1
1400,766.0,2230.74637281,100,50,0.1,1
1410,766.0,2245.28707236,100,50,0.1,1
1420,766.0,2260.22332815,100,50,0.1,1
1430,768.0,2275.88928881,100,50,0.1,1
1440,770.0,2290.5757147,100,50,0.1,1
1450,770.0,2305.90357991,100,50,0.1,1
1460,770.0,2321.17655795,100,50,0.1,1
1470,772.0,2336.84839963,100,50,0.1,1
1480,768.0,2351.77150444,100,50,0.1,1
1490,768.0,2367.00751153,100,50,0.1,1
1500,770.0,2381.55068298,100,50,0.1,1
1510,766.0,2396.414707,100,50,0.1,1
1520,768.0,2411.11617588,100,50,0.1,1
1530,768.0,2425.96352235,100,50,0.1,1
1540,768.0,2441.13920109,100,50,0.1,1
1550,766.0,2455.68960353,100,50,0.1,1
1560,766.0,2470.20676342,100,50,0.1,1
1570,770.0,2484.99956761,100,50,0.1,1
1580,768.0,2499.88673816,100,50,0.1,1
1590,768.0,2514.89716459,100,50,0.1,1
1600,768.0,2529.61674793,100,50,0.1,1
1610,770.0,2544.52373834,100,50,0.1,1
1620,770.0,2559.6602557,100,50,0.1,1
1630,770.0,2574.83910278,100,50,0.1,1
1640,770.0,2589.62038255,100,50,0.1,1
1650,768.0,2604.2886609,100,50,0.1,1
1660,770.0,2619.03391508,100,50,0.1,1
1670,770.0,2634.97523093,100,50,0.1,1
1680,768.0,2650.01953785,100,50,0.1,1
1690,770.0,2664.8573875,100,50,0.1,1
1700,768.0,2680.12872625,100,50,0.1,1
1710,770.0,2695.19539909,100,50,0.1,1
1720,770.0,2709.67670662,100,50,0.1,1
1730,770.0,2724.71457817,100,50,0.1,1
1740,772.0,2739.9893064,100,50,0.1,1
1750,772.0,2754.69777338,100,50,0.1,1
1760,772.0,2769.33899986,100,50,0.1,1
1770,772.0,2784.13952187,100,50,0.1,1
