iterations,fitness,time,CE,trial
0,517.0,0.000222687,0.15,1
10,517.0,0.000458479000001,0.15,1
20,517.0,0.001879528,0.15,1
30,519.0,0.002150062,0.15,1
40,519.0,0.002598333,0.15,1
50,523.0,0.002925619,0.15,1
60,523.0,0.003106927,0.15,1
70,525.0,0.003339434,0.15,1
80,527.0,0.003492483,0.15,1
90,527.0,0.003622588,0.15,1
100,529.0,0.00395459,0.15,1
110,529.0,0.004054491,0.15,1
120,531.0,0.004468456,0.15,1
130,535.0,0.005038604,0.15,1
140,541.0,0.00514242,0.15,1
150,545.0,0.005412189,0.15,1
160,547.0,0.005800796,0.15,1
170,549.0,0.010051201,0.15,1
180,549.0,0.010287713,0.15,1
190,553.0,0.010882861,0.15,1
200,553.0,0.011054884,0.15,1
210,555.0,0.011213839,0.15,1
220,555.0,0.011438892,0.15,1
230,557.0,0.011861152,0.15,1
240,561.0,0.012086389,0.15,1
250,561.0,0.012231456,0.15,1
260,571.0,0.012606943,0.15,1
270,571.0,0.012764707,0.15,1
280,571.0,0.01286042,0.15,1
290,571.0,0.013383546,0.15,1
300,575.0,0.013533306,0.15,1
310,575.0,0.013721455,0.15,1
320,577.0,0.013823364,0.15,1
330,577.0,0.013933644,0.15,1
340,587.0,0.014028155,0.15,1
350,591.0,0.014167202,0.15,1
360,591.0,0.014276859,0.15,1
370,591.0,0.014370459,0.15,1
380,593.0,0.014482603,0.15,1
390,595.0,0.014584053,0.15,1
400,597.0,0.014696404,0.15,1
410,601.0,0.014796068,0.15,1
420,601.0,0.014907459,0.15,1
430,601.0,0.015008679,0.15,1
440,603.0,0.015116005,0.15,1
450,603.0,0.015358754,0.15,1
460,603.0,0.015455017,0.15,1
470,603.0,0.015557092,0.15,1
480,605.0,0.015654873,0.15,1
490,605.0,0.015764806,0.15,1
500,611.0,0.016041254,0.15,1
510,613.0,0.016210745,0.15,1
520,615.0,0.016401798,0.15,1
530,617.0,0.016497624,0.15,1
540,619.0,0.016604773,0.15,1
550,621.0,0.016702445,0.15,1
560,623.0,0.017000101,0.15,1
570,623.0,0.017097411,0.15,1
580,623.0,0.017239261,0.15,1
590,623.0,0.017337332,0.15,1
600,625.0,0.017446552,0.15,1
610,631.0,0.017542249,0.15,1
620,633.0,0.017680155,0.15,1
630,635.0,0.017775566,0.15,1
640,639.0,0.017875192,0.15,1
650,639.0,0.017998938,0.15,1
660,641.0,0.018881896,0.15,1
670,641.0,0.019154837,0.15,1
680,641.0,0.019426614,0.15,1
690,641.0,0.019641932,0.15,1
700,643.0,0.019750102,0.15,1
710,643.0,0.020047365,0.15,1
720,643.0,0.020208301,0.15,1
730,649.0,0.021124712,0.15,1
740,651.0,0.021377368,0.15,1
750,651.0,0.021518834,0.15,1
760,653.0,0.021645959,0.15,1
770,655.0,0.021737468,0.15,1
780,655.0,0.021869953,0.15,1
790,655.0,0.022091386,0.15,1
800,659.0,0.022251625,0.15,1
810,659.0,0.022392604,0.15,1
820,659.0,0.022715637,0.15,1
830,659.0,0.023024755,0.15,1
840,661.0,0.023279167,0.15,1
850,663.0,0.039444223,0.15,1
860,663.0,0.039637246,0.15,1
870,665.0,0.040009192,0.15,1
880,667.0,0.043061766,0.15,1
890,667.0,0.043431599,0.15,1
900,669.0,0.048560924,0.15,1
910,673.0,0.048801139,0.15,1
920,673.0,0.048921144,0.15,1
930,675.0,0.049055313,0.15,1
940,677.0,0.049245179,0.15,1
950,679.0,0.049387902,0.15,1
960,679.0,0.049513528,0.15,1
970,681.0,0.049636369,0.15,1
980,681.0,0.050458977,0.15,1
990,681.0,0.050587616,0.15,1
1000,681.0,0.050713468,0.15,1
1010,685.0,0.050837044,0.15,1
1020,685.0,0.050960447,0.15,1
1030,685.0,0.05108075,0.15,1
1040,685.0,0.051186987,0.15,1
1050,685.0,0.051301722,0.15,1
1060,687.0,0.05139783,0.15,1
1070,687.0,0.051508983,0.15,1
1080,687.0,0.051608515,0.15,1
1090,687.0,0.051720851,0.15,1
1100,691.0,0.051952259,0.15,1
