    iterations,fitness,time,samples,keep,m,trial
0,0.0222481944085,15.843584661,100,50,0.1,1
10,0.023839102567,28.504742579,100,50,0.1,1
20,0.0228730501701,40.747352527,100,50,0.1,1
30,0.0242371276043,53.294987837,100,50,0.1,1
40,0.0247899601145,65.336450938,100,50,0.1,1
50,0.0242475727202,74.216538419,100,50,0.1,1
60,0.0279791750088,84.850943218,100,50,0.1,1
70,0.0260705629848,95.644981186,100,50,0.1,1
80,0.0289319537579,107.526122106,100,50,0.1,1
90,0.0283799951036,119.439633805,100,50,0.1,1
100,0.0286645072508,131.283815235,100,50,0.1,1
110,0.028409072625,145.497671855,100,50,0.1,1
120,0.0299645083105,157.021728346,100,50,0.1,1
130,0.0301404907794,167.319089614,100,50,0.1,1
140,0.0292257766479,179.893983424,100,50,0.1,1
150,0.031108800198,192.279194469,100,50,0.1,1
160,0.0295411108677,204.915934464,100,50,0.1,1
170,0.0301921886699,216.980200375,100,50,0.1,1
180,0.0307031325709,227.626136183,100,50,0.1,1
190,0.0322199167873,235.541917333,100,50,0.1,1
200,0.0317409778277,247.235083506,100,50,0.1,1
210,0.0327453359323,259.55068423,100,50,0.1,1
220,0.0316454387969,272.185787348,100,50,0.1,1
230,0.0329070963124,282.766325952,100,50,0.1,1
240,0.0332961222434,294.917353796,100,50,0.1,1
250,0.0323720144206,307.522135259,100,50,0.1,1
260,0.0327751983869,319.41718498,100,50,0.1,1
270,0.0340785688103,333.532898306,100,50,0.1,1
280,0.0336753116833,343.861194689,100,50,0.1,1
290,0.0328885518902,356.676766705,100,50,0.1,1
300,0.0332807733821,364.25072437,100,50,0.1,1
310,0.0338216885542,369.867764418,100,50,0.1,1
320,0.0331897958448,375.06071452,100,50,0.1,1
330,0.0344841196222,380.092520431,100,50,0.1,1
340,0.0349430066297,385.239354706,100,50,0.1,1
350,0.033318813765,390.433746323,100,50,0.1,1
360,0.0340818354669,395.678131952,100,50,0.1,1
370,0.0349120347415,401.113439293,100,50,0.1,1
380,0.0337712397352,406.07803895,100,50,0.1,1
390,0.0369138882257,411.210657878,100,50,0.1,1
400,0.0333520361051,416.212210681,100,50,0.1,1
410,0.0344817307639,421.302645565,100,50,0.1,1
420,0.0338487321082,426.326999664,100,50,0.1,1
430,0.034818232215,431.41659587,100,50,0.1,1
440,0.0346184062026,436.441106886,100,50,0.1,1
450,0.0345546981515,442.011487183,100,50,0.1,1
460,0.0344197821756,447.730205549,100,50,0.1,1
470,0.0335486226242,453.068920746,100,50,0.1,1
480,0.0334363828967,458.031887847,100,50,0.1,1
490,0.0328839267109,463.163675344,100,50,0.1,1
500,0.0355630972867,468.340705912,100,50,0.1,1
510,0.0352090206524,473.655536227,100,50,0.1,1
520,0.033034607263,478.685723591,100,50,0.1,1
530,0.0351446950424,483.8596808,100,50,0.1,1
540,0.0343591399033,488.880724286,100,50,0.1,1
550,0.0354121126356,493.96282382,100,50,0.1,1
560,0.035376807293,499.328333328,100,50,0.1,1
570,0.0340503219171,504.571037032,100,50,0.1,1
580,0.0339665681709,509.736313263,100,50,0.1,1
590,0.0353411851471,514.840874708,100,50,0.1,1
600,0.0353539648644,519.778805929,100,50,0.1,1
610,0.0352213686157,525.122402703,100,50,0.1,1
620,0.0363193084424,530.111568028,100,50,0.1,1
630,0.0357172350428,535.33915793,100,50,0.1,1
640,0.0347308991399,540.565922986,100,50,0.1,1
650,0.0348415526913,545.836736916,100,50,0.1,1
660,0.0361251378443,550.857174939,100,50,0.1,1
670,0.0365287948353,555.88528423,100,50,0.1,1
680,0.0363160702282,561.085895486,100,50,0.1,1
690,0.0364166626238,566.056468875,100,50,0.1,1
700,0.035622386082,571.114637683,100,50,0.1,1
710,0.0359011937063,576.394539222,100,50,0.1,1
720,0.0358740703934,581.523696188,100,50,0.1,1
730,0.0357130716099,586.810230227,100,50,0.1,1
740,0.0365187024082,591.861381007,100,50,0.1,1
750,0.0374853634495,597.817614128,100,50,0.1,1
760,0.0367034412905,603.038945782,100,50,0.1,1
770,0.0364182292601,608.072302603,100,50,0.1,1
780,0.0375867219695,613.020694221,100,50,0.1,1
790,0.0375475336458,618.128030813,100,50,0.1,1
800,0.0368941666083,623.347250695,100,50,0.1,1
810,0.0360665992646,628.266001767,100,50,0.1,1
820,0.037066292003,633.320778778,100,50,0.1,1
830,0.0375996704028,638.282731597,100,50,0.1,1
840,0.035614722193,643.457292833,100,50,0.1,1
850,0.0368859585991,648.554020869,100,50,0.1,1
860,0.0370345539781,653.606891273,100,50,0.1,1
870,0.0372740777883,658.804678616,100,50,0.1,1
880,0.0375482684619,663.754809573,100,50,0.1,1
890,0.0361679774009,669.085789466,100,50,0.1,1
900,0.0373113163308,674.108762527,100,50,0.1,1
910,0.0366600555229,679.302112698,100,50,0.1,1
920,0.0370066068277,684.341230606,100,50,0.1,1
930,0.0375624988049,689.1245338,100,50,0.1,1
940,0.0376331283238,694.350606179,100,50,0.1,1
950,0.0370510163391,699.429604549,100,50,0.1,1
960,0.0374105750631,704.54684738,100,50,0.1,1
970,0.0378163420666,709.51921642,100,50,0.1,1
980,0.0370530706679,714.738013416,100,50,0.1,1
990,0.0383487924738,719.874982142,100,50,0.1,1
1000,0.0377383195774,724.905519352,100,50,0.1,1
1010,0.0369048565291,729.809512698,100,50,0.1,1
1020,0.0380350603506,734.888385937,100,50,0.1,1
1030,0.0373202035786,740.42236172,100,50,0.1,1
1040,0.0375320624279,745.443774639,100,50,0.1,1
1050,0.0371828879864,751.972616057,100,50,0.1,1
1060,0.0380847683832,756.895433152,100,50,0.1,1
1070,0.038744923099,761.669096561,100,50,0.1,1
1080,0.0389958142526,766.358910913,100,50,0.1,1
1090,0.0391392913868,771.095711748,100,50,0.1,1
1100,0.0392001799087,775.918931287,100,50,0.1,1
1110,0.0383935651008,780.482556514,100,50,0.1,1
1120,0.0392412472336,785.282930014,100,50,0.1,1
1130,0.0382103111726,790.167343514,100,50,0.1,1
1140,0.0391330887397,794.862450983,100,50,0.1,1
1150,0.0386180681146,799.588409098,100,50,0.1,1
1160,0.0386656841911,804.439794282,100,50,0.1,1
1170,0.0397067083308,809.172767006,100,50,0.1,1
1180,0.0378643671256,813.731966747,100,50,0.1,1
1190,0.0395826976902,818.531433403,100,50,0.1,1
1200,0.0375785062211,823.063326962,100,50,0.1,1
1210,0.0394132711674,827.583553125,100,50,0.1,1
1220,0.0382981310468,832.19562767,100,50,0.1,1
1230,0.0399643835661,836.82152943,100,50,0.1,1
1240,0.0394277144906,841.433708611,100,50,0.1,1
1250,0.0393356429234,845.99178918,100,50,0.1,1
1260,0.040132654499,850.509013152,100,50,0.1,1
1270,0.0392118049267,855.127220817,100,50,0.1,1
1280,0.0395629801682,859.726259215,100,50,0.1,1
1290,0.0396762448469,864.359454028,100,50,0.1,1
1300,0.0389869766174,869.049948669,100,50,0.1,1
1310,0.0392623962422,873.557771601,100,50,0.1,1
1320,0.0402337695922,878.285257454,100,50,0.1,1
1330,0.0401392203818,882.729724159,100,50,0.1,1
1340,0.0405687327302,887.39254178,100,50,0.1,1
1350,0.0397465153242,891.96070446,100,50,0.1,1
1360,0.0394429919378,897.135901836,100,50,0.1,1
1370,0.0411227371074,901.643651755,100,50,0.1,1
1380,0.0403397472042,906.172844285,100,50,0.1,1
1390,0.0393991341898,910.704517666,100,50,0.1,1
1400,0.0394299726239,915.437920805,100,50,0.1,1
1410,0.0394284316568,919.926887732,100,50,0.1,1
1420,0.0399308068657,924.622573263,100,50,0.1,1
1430,0.0387225370967,929.051531348,100,50,0.1,1
1440,0.0398483878123,933.565968157,100,50,0.1,1
1450,0.0394465854327,938.090733604,100,50,0.1,1
1460,0.0396777986777,942.664443771,100,50,0.1,1
1470,0.0386881131809,947.26329644,100,50,0.1,1
1480,0.0384838815991,951.686016663,100,50,0.1,1
1490,0.0396889953442,956.257233066,100,50,0.1,1
1500,0.038821657751,960.851426359,100,50,0.1,1
1510,0.0385773731855,965.389211182,100,50,0.1,1
1520,0.0396788493718,969.817368589,100,50,0.1,1
1530,0.0390542066964,974.371231931,100,50,0.1,1
1540,0.0402120913172,978.883810898,100,50,0.1,1
1550,0.0415221295281,983.597611563,100,50,0.1,1
1560,0.0405599719429,988.2165268,100,50,0.1,1
1570,0.0398299852234,992.647829586,100,50,0.1,1
1580,0.0403956495547,997.289938938,100,50,0.1,1
1590,0.040155348059,1001.77538607,100,50,0.1,1
1600,0.0389932800787,1006.30991874,100,50,0.1,1
1610,0.0397748377996,1010.80238214,100,50,0.1,1
1620,0.0404070784846,1015.33129658,100,50,0.1,1
1630,0.0398999727885,1019.82822408,100,50,0.1,1
